year,month,day,amount_mm,days_agg,quality,date
2019,12,22,0.0,0,N,2019-12-22
2019,12,23,0.0,0,N,2019-12-23
2019,12,24,0.0,0,N,2019-12-24
2019,12,25,0.0,0,N,2019-12-25
2019,12,26,0.0,0,N,2019-12-26
2019,12,27,0.0,0,N,2019-12-27
2019,12,28,0.0,0,N,2019-12-28
2019,12,29,0.0,0,N,2019-12-29
2019,12,30,0.0,0,N,2019-12-30
2019,12,31,0.0,0,N,2019-12-31
